timestamp,distance,rel_x,rel_y,vel
1746584457.244,12.4026,-11.843,3.685,0.002
1746584457.253,12.4027,-11.843,3.685,0.002
1746584457.263,12.4027,-11.843,3.685,0.004
1746584457.273,12.4027,-11.843,3.685,0.003
1746584457.284,12.4027,-11.843,3.685,0.002
1746584457.293,12.4027,-11.843,3.685,0.002
1746584457.303,12.4028,-11.843,3.685,0.002
1746584457.313,12.4028,-11.843,3.685,0.002
1746584457.324,12.4028,-11.843,3.685,0.003
1746584457.333,12.4028,-11.843,3.685,0.002
1746584457.343,12.4029,-11.843,3.685,0.004
1746584457.353,12.4029,-11.843,3.685,0.003
1746584457.363,12.4029,-11.843,3.685,0.004
1746584457.373,12.4029,-11.843,3.685,0.002
1746584457.383,12.4029,-11.843,3.685,0.003
1746584457.393,12.4030,-11.843,3.685,0.003
1746584457.403,12.4030,-11.843,3.685,0.002
1746584457.413,12.4030,-11.843,3.685,0.002
1746584457.423,12.4030,-11.843,3.685,0.004
1746584457.433,12.4031,-11.843,3.685,0.002
1746584457.443,12.4031,-11.843,3.685,0.002
1746584457.453,12.4031,-11.843,3.685,0.003
1746584457.463,12.4031,-11.843,3.685,0.003
1746584457.473,12.4031,-11.843,3.685,0.002
1746584457.483,12.4032,-11.843,3.685,0.002
1746584457.493,12.4032,-11.843,3.685,0.004
1746584457.503,12.4032,-11.843,3.685,0.003
1746584457.513,12.4032,-11.843,3.685,0.003
1746584457.523,12.4033,-11.843,3.685,0.003
1746584457.533,12.4033,-11.843,3.685,0.002
1746584457.543,12.4033,-11.843,3.685,0.001
1746584457.553,12.4033,-11.843,3.685,0.003
1746584457.563,12.4033,-11.843,3.685,0.009
1746584457.573,12.4032,-11.843,3.685,0.013
1746584457.583,12.4031,-11.843,3.685,0.018
1746584457.593,12.4029,-11.843,3.685,0.023
1746584457.603,12.4026,-11.842,3.685,0.028
1746584457.613,12.4023,-11.842,3.685,0.032
1746584457.623,12.4020,-11.842,3.685,0.036
1746584457.633,12.3999,-11.840,3.685,0.040
1746584457.643,12.3995,-11.839,3.685,0.041
1746584457.653,12.3991,-11.839,3.685,0.041
1746584457.663,12.3987,-11.838,3.685,0.040
1746584457.673,12.3983,-11.838,3.685,0.039
1746584457.683,12.3980,-11.838,3.685,0.038
1746584457.693,12.3976,-11.837,3.685,0.038
1746584457.702,12.3972,-11.837,3.685,0.038
1746584457.712,12.3969,-11.836,3.685,0.039
1746584457.723,12.3965,-11.836,3.685,0.042
1746584457.733,12.3961,-11.836,3.685,0.046
1746584457.743,12.3956,-11.835,3.685,0.051
1746584457.753,12.3951,-11.835,3.685,0.056
1746584457.763,12.3945,-11.834,3.685,0.063
1746584457.773,12.3939,-11.833,3.685,0.069
1746584457.783,12.3932,-11.833,3.685,0.075
1746584457.792,12.3925,-11.832,3.686,0.081
1746584457.802,12.3917,-11.831,3.686,0.086
1746584457.813,12.3909,-11.830,3.686,0.090
1746584457.823,12.3900,-11.829,3.686,0.093
1746584457.833,12.3891,-11.828,3.686,0.095
1746584457.843,12.3882,-11.827,3.686,0.097
1746584457.853,12.3872,-11.826,3.686,0.099
1746584457.863,12.3863,-11.825,3.686,0.100
1746584457.873,12.3853,-11.824,3.686,0.102
1746584457.882,12.3844,-11.823,3.686,0.104
1746584457.893,12.3834,-11.822,3.686,0.107
1746584457.903,12.3823,-11.821,3.686,0.111
1746584457.913,12.3813,-11.820,3.686,0.115
1746584457.923,12.3802,-11.819,3.686,0.121
1746584457.933,12.3790,-11.818,3.686,0.127
1746584457.943,12.3778,-11.816,3.686,0.133
1746584457.953,12.3765,-11.815,3.686,0.139
1746584457.962,12.3752,-11.813,3.686,0.145
1746584457.972,12.3737,-11.812,3.686,0.151
1746584457.983,12.3723,-11.810,3.686,0.156
1746584457.993,12.3708,-11.809,3.686,0.160
1746584458.003,12.3692,-11.807,3.686,0.164
1746584458.013,12.3677,-11.806,3.686,0.168
1746584458.023,12.3661,-11.804,3.686,0.171
1746584458.033,12.3644,-11.802,3.686,0.174
1746584458.043,12.3628,-11.800,3.686,0.177
1746584458.053,12.3611,-11.799,3.686,0.180
1746584458.062,12.3594,-11.797,3.686,0.184
1746584458.072,12.3576,-11.795,3.687,0.188
1746584458.083,12.3558,-11.793,3.687,0.193
1746584458.093,12.3538,-11.791,3.687,0.199
1746584458.103,12.3519,-11.789,3.687,0.204
1746584458.113,12.3500,-11.787,3.687,0.210
1746584458.123,12.3480,-11.785,3.687,0.217
1746584458.133,12.3486,-11.786,3.686,0.217
1746584458.143,12.3466,-11.783,3.687,0.223
1746584458.153,12.3444,-11.781,3.687,0.229
1746584458.163,12.3423,-11.779,3.687,0.234
1746584458.173,12.3400,-11.776,3.687,0.239
1746584458.183,12.3377,-11.774,3.687,0.243
1746584458.193,12.3354,-11.771,3.687,0.248
1746584458.203,12.3330,-11.769,3.687,0.252
1746584458.213,12.3306,-11.766,3.687,0.257
1746584458.223,12.3281,-11.764,3.687,0.261
1746584458.233,12.3259,-11.761,3.687,0.266
1746584458.243,12.3234,-11.759,3.687,0.271
1746584458.253,12.3208,-11.756,3.687,0.277
1746584458.263,12.3181,-11.753,3.688,0.283
1746584458.273,12.3154,-11.750,3.688,0.289
1746584458.283,12.3127,-11.747,3.688,0.296
1746584458.293,12.3098,-11.744,3.688,0.303
1746584458.303,12.3070,-11.741,3.688,0.310
1746584458.313,12.3040,-11.738,3.688,0.317
1746584458.323,12.3010,-11.735,3.688,0.324
1746584458.333,12.2979,-11.732,3.688,0.331
1746584458.342,12.2947,-11.728,3.688,0.338
1746584458.353,12.2915,-11.725,3.689,0.345
1746584458.363,12.2883,-11.722,3.689,0.352
1746584458.373,12.2849,-11.718,3.689,0.358
1746584458.383,12.2815,-11.714,3.689,0.365
1746584458.393,12.2778,-11.710,3.689,0.371
1746584458.403,12.2741,-11.707,3.689,0.378
1746584458.413,12.2705,-11.703,3.689,0.385
1746584458.423,12.2668,-11.699,3.689,0.392
1746584458.432,12.2631,-11.695,3.689,0.398
1746584458.443,12.2591,-11.691,3.689,0.405
1746584458.453,12.2552,-11.687,3.689,0.412
1746584458.463,12.2513,-11.683,3.690,0.420
1746584458.473,12.2473,-11.678,3.690,0.427
1746584458.483,12.2432,-11.674,3.690,0.434
1746584458.493,12.2391,-11.670,3.690,0.441
1746584458.503,12.2349,-11.665,3.690,0.448
1746584458.513,12.2306,-11.661,3.690,0.455
1746584458.523,12.2261,-11.656,3.690,0.462
1746584458.533,12.2217,-11.651,3.690,0.469
1746584458.543,12.2173,-11.647,3.690,0.476
1746584458.553,12.2127,-11.642,3.691,0.483
1746584458.563,12.2082,-11.637,3.691,0.490
1746584458.573,12.2035,-11.632,3.691,0.497
1746584458.583,12.1988,-11.627,3.691,0.504
1746584458.592,12.1940,-11.622,3.691,0.511
1746584458.602,12.1892,-11.617,3.691,0.518
1746584458.612,12.1842,-11.612,3.692,0.525
1746584458.623,12.1793,-11.606,3.692,0.533
1746584458.633,12.1701,-11.597,3.690,0.547
1746584458.643,12.1649,-11.592,3.690,0.554
1746584458.653,12.1597,-11.586,3.690,0.562
1746584458.663,12.1543,-11.581,3.690,0.570
1746584458.673,12.1489,-11.575,3.690,0.577
1746584458.682,12.1434,-11.569,3.691,0.585
1746584458.692,12.1379,-11.563,3.691,0.593
1746584458.702,12.1322,-11.557,3.691,0.600
1746584458.713,12.1265,-11.551,3.691,0.608
1746584458.723,12.1207,-11.545,3.691,0.616
1746584458.733,12.1149,-11.539,3.691,0.623
1746584458.743,12.1090,-11.533,3.692,0.631
1746584458.753,12.1029,-11.526,3.692,0.639
1746584458.762,12.0969,-11.520,3.692,0.647
1746584458.772,12.0907,-11.513,3.692,0.655
1746584458.782,12.0845,-11.507,3.692,0.663
1746584458.792,12.0782,-11.500,3.692,0.671
1746584458.803,12.0718,-11.493,3.692,0.679
1746584458.813,12.0654,-11.486,3.693,0.687
1746584458.823,12.0589,-11.480,3.693,0.696
1746584458.833,12.0523,-11.473,3.693,0.704
1746584458.843,12.0456,-11.465,3.693,0.712
1746584458.852,12.0390,-11.458,3.693,0.721
1746584458.863,12.0321,-11.451,3.694,0.729
1746584458.872,12.0252,-11.444,3.694,0.737
1746584458.882,12.0182,-11.436,3.694,0.745
1746584458.893,12.0111,-11.429,3.694,0.753
1746584458.903,12.0039,-11.421,3.694,0.761
1746584458.913,11.9966,-11.414,3.694,0.769
1746584458.923,11.9893,-11.406,3.695,0.777
1746584458.933,11.9818,-11.398,3.694,0.785
1746584458.943,11.9744,-11.390,3.695,0.793
1746584458.952,11.9669,-11.382,3.695,0.801
1746584458.963,11.9593,-11.374,3.695,0.809
1746584458.972,11.9516,-11.366,3.695,0.818
1746584458.983,11.9438,-11.358,3.695,0.826
1746584458.993,11.9360,-11.349,3.696,0.835
1746584459.003,11.9281,-11.341,3.696,0.844
1746584459.013,11.9201,-11.333,3.696,0.853
1746584459.023,11.9119,-11.324,3.696,0.861
1746584459.032,11.9037,-11.315,3.696,0.870
1746584459.043,11.8954,-11.307,3.696,0.878
1746584459.052,11.8871,-11.298,3.697,0.887
1746584459.062,11.8787,-11.289,3.697,0.895
1746584459.073,11.8702,-11.280,3.697,0.903
1746584459.083,11.8617,-11.271,3.697,0.910
1746584459.093,11.8531,-11.262,3.698,0.918
